uuid,name,description,location,date,start_time,end_time,tags,speakers
4f43b844-962f-44b4-b22b-122a41bc5a7e,Don't put your messages in a bottle; Implement messaging patterns,"When building enterprise solutions, messages are the heart of our communication. They convey commands and data between various systems and ensure that we can work in a decoupled, scalable, and distributed manner. Our messages represent value, so we can't just slip them in a bottle, toss them into the ocean, and hope they arrive at their destination. Instead, we need a messaging backbone that can provide resilience and stability. Therefore, we implement proven messaging patterns, to ensure they are handled with the care they deserve.

In this session we will have a look at these messaging patterns, and how they can help in modern software architecture. As a result we come to understand how secure and reliable communication help us solve complex messaging challenges. 

Come and learn about handling transactions involving different systems, implementing data consistency across them, and controlling intermittent and critical failures. The patterns explained in this session are vendor agnostic, we will use Azure Service Bus to explain some of the specifics, however they can be applied to any message broker.",Room 103,2024-08-28,08:30:00,09:30:00,"['communicaion', 'messaging', 'azure', 'Introductory and overview']","['Leia Schroeder', 'Izaiah Kent', 'Jazmine Graham']"
35bdf727-88a6-4be6-85fa-5cfd2e8743e8,Demystifying Web API Security in Azure,"Building APIs can be easy, but securing them is hard. We have external and internal applications, APIs, users, and more. Each might use a different authentication and authorization strategy, depending on customer and system needs. The stakes are high and there is no margin for error!

In this talk, well look at the different categories of applications and users, and what possibilities we have for securing them. Well also look at what Azure provides for securing internal users and applications, and an external provider such as Auth0 for external users and applications. Well also cover different authentication and authorization strategies, and how we can map these to our various communication scenarios.

Finally, well look at a full end-to-end example using .NET 5 and Azure, building out a playbook for the common and not-so-common scenarios we encounter.",Grand Ballroom A,2024-08-28,09:45:00,10:45:00,"['azure', 'security', 'web api', '.net', 'Intermediate']","['Giovanni York', 'Milan Noble']"
5dab09a3-0973-46c4-a0a2-acc261715d1a,"ChatGPT, OpenAI, and Power Platform | How to leverage Chat GPT to enable AI your Power Apps",Learn how to leverage OpenAI services such as  ChatGPT within your Power Apps and Power Automate flows,Grand Ballroom B,2024-08-28,09:45:00,10:45:00,"['ai', 'ChatGPT', 'OpenAi', 'Introductory and overview']",['Idris Aguirre']
582a1cc8-9e5a-4f21-8867-53f6e27d1dcc,Agile: You Keep Using That Word...,"Much like the DOTCOM boom when everyone declared themselves a programmer, once David Norton (Gartner Research) declared agile mainstream on August 26, 2009, you cant throw a stone without hitting someone who claims to be an Agilista.  From the proliferation of “agile” frameworks and certifications, to all of the people who decided to hang out a shingle as a coach, it can be hard to remember what is the essence of being agile.  In this talk, I remove the fluff and hyperbole, and get down to the roots of what it means to be agile.",Grand Ballroom C,2024-08-28,09:45:00,10:45:00,"['agile', 'Intermediate']",['Anais Jaramillo']
bd40b471-b5b8-46d3-b5fc-0a1bba18952c,AppSec 101: Live Demos of Real-World Application Security Attacks,"In this session, join Jason Gillam for a thrilling journey into the attacker's mindset as he demonstrates real-world application security attacks. Through live demos of attack scenarios, Jason will show you how attackers exploit common vulnerabilities such as injection attacks, cross-site scripting, and privilege escalation.

This session will be an eye-opening experience for developers and anyone who wants to learn more about application security. You'll gain a deeper understanding of how attackers think, and learn practical strategies for protecting your applications from their attacks.

You'll leave this session with a greater appreciation for the challenges of defending against  attackers, and a toolkit for improving your application security posture. Don't miss this opportunity to learn from a leading penetration tester and security expert.",Junior Ballroom A,2024-08-28,09:45:00,10:45:00,"['application security', 'appsec', 'Intermediate']",['Riggs Johnston']
a1de1523-ae8b-4207-b911-fb52e1ddf692,New Product Concept & Design Workshop,"There's never been a better time to create amazing technology solutions. In this hands on workshop, you will learn the fundamental skills and techniques necessary to transform a digital dream into a viable solution that your customers and users will love. ",Junior Ballroom B,2024-08-28,09:45:00,10:45:00,"['product design', 'Intermediate']",['Laila Reese']
ebb1b5ff-157d-4eee-9907-e5543df8c0d1,Automate your cloud application testing with Playwright,"Your company has CI/CD (continuous integration/continuous deployment), youve created a culture of regular cloud deployments, but your tests arent automated? Automated testing is the next frontier in quality assurance. Lets make more technically resilient applications in the cloud. In this fun and interactive session, you'll learn how to harness the power of Playwright to automate web tasks with ease. From setting up your own automated tests to discovering the latest trends in web automation, you'll leave this session with the skills and knowledge you need to become a web automation wizard. Attend this session to hear and see a demonstration of testing at scale for your cloud applications.  ",Junior Ballroom C,2024-08-28,09:45:00,10:45:00,"['cloud', 'continuous integration', 'continuous deployment', 'Introductory and overview']","['Alijah Atkins', 'Mina Carrillo']"
b8ad3552-e6e1-494a-b112-c77994d03ca3,Memory First: An Introduction to Redis,"Odds are, youve heard of Redis. Maybe youre a total noob and want to learn all about it. Maybe youve used it to cache an API call or some JSON strings and want to know what else it can do. Maybe you *havent* heard of Redis and are curious what all the fuss is about.

Wanna find out? Join me as I explain what Redis is—a wicked-fast, memory-first database—and why you should care. Ill share with you what it can store, how you can access it, and how you can make sure that whats in memory is still there when the power goes off. Well explore how you can extend Redis—adding new commands, new data structures, and new capabilities. And, well do it both from the command line and from code with examples in C#, Java, JavaScript, and Python.

When were done, youll know what Redis is and what all the fuss was about. But, more importantly, youll know how to put memory first to build fast applications and faster experiences.",Junior Ballroom D,2024-08-28,09:45:00,10:45:00,"['redis', 'Introductory and overview']",['Wade Enriquez']
f5e3fa7f-fc44-4e16-a226-eb27c5afeeb4,File New: Build a Event-Driven Architected Microservice from Scratch,"Event-driven microservice architectures provide a versatile approach to designing and integrating complex software systems with independent, encapsulated components. During this session, we will focus on the how by starting with an empty Visual Studio solution and building a complete event-driven architected microservice to solve a real-world problem. You will see firsthand how to design, develop, and deploy a decoupled, encapsulated, responsive, scalable, and independent solution. Well talk about potential pitfalls, and you will see how to get around them.",Room D1,2024-08-28,09:45:00,10:45:00,"['microsevice', 'event-driven', 'Intermediate']",['Nellie Madden']
b90eaff1-16d9-4524-9335-268bd38d58fd,Building MVVM Apps with .NET MAUI & Prism,".NET MAUI is here, and is a major evolution to Xamarin.Forms. Ok, it sounds like a fancy of way saying an update that broke your app. Whether you are trying to update your legacy Prism.Forms app, or getting ready to build a new Prism.Maui app you're probably wondering where to even start. It's time to build powerful apps that leverage the best that .NET MAUI has with the #1 MVVM Framework in the .NET Ecosystem.

In this talk we'll hear from Prism's lead maintainer on the changes that we see in the application design patterns between Xamarin.Forms and .NET MAUI. How this affected Prism. How all of this will affect your apps, and what subtle changes exist between Prism.Forms and Prism.Maui. Learn how to easily migrate your existing apps, and how to get started building your new greenfield apps. Plus we will discuss common bad practices that we see and how to fix them, improving the testability & reliability of your Codebase!",Room D2,2024-08-28,09:45:00,10:45:00,"['.net', '.net maui', 'prism', 'Introductory and overview']",['Tate Estrada']
